Time,Open,High,Low,Close,Volume_BTC,Volume_Currency,Weighted_Price,Sim_Index,Log_Close,Deep_Sim_Index,P_GK_Index
2013/03/10,45.76,47,45,45.29,1252.1,57957.99,46.29,0.05435016,1.6560023207,0.0204471922,0.03122631
2013/03/11,45.97,48.38,45.6,48.25,3400.79,160700.39,47.25,0.0539351,1.6834973177,0.0204262511,0.03140011
2013/03/12,48.15,48.25,36,44.84,11195.7,484836.09,43.31,0.0520371,1.6516656039,0.0205006309,0.03142177
2013/03/13,44.29,47.09,44.2,46.99,3290.23,152004.66,46.2,0.0500945,1.672005445,0.0205447312,0.03150001
2013/03/14,46.99,47.97,46.8,46.95,3527.69,167173.93,47.39,0.04098547,1.6716355966,0.0205834561,0.03157662
2013/03/15,46.95,47.29,46.9,46.9,1063.76,50102.52,47.1,0.04225416,1.6711728427,0.0205113825,0.03155691
2013/03/16,46.93,47,46.58,46.74,909.76,42583.45,46.81,0.04880735,1.6696887081,0.0204963133,0.03150449
2013/03/17,46.7,47.24,46.7,47.24,1102.96,51827.61,46.99,0.0490576,1.6743098889,0.0259111742,0.03155263
2013/03/18,47.24,51.1,46.98,50.35,5924.1,285215.39,48.14,0.04142215,1.7019994749,0.0299631888,0.03160146
2013/03/19,49.87,60,48,59.41,9303.94,514314.62,55.28,0.031749515,1.7738595524,0.0300149922,0.03190258
2013/03/20,59.46,67.99,58.86,64.2,8546.01,529201.14,61.92,0.05198515,1.8075350281,0.0352163211,0.03947758
2013/03/21,65.13,76.91,64.61,72.23,9864.57,697134.34,70.67,0.07011557,1.8587176149,0.0357848343,0.04000159
2013/03/22,70.87,74.47,65,69.9,5462.7,385986.77,70.66,0.05850183,1.8444771757,0.0299740617,0.03663738
2013/03/23,68.81,72,50.09,63.9,13092.95,799580.96,61.07,0.06755309,1.8055008582,0.0290041836,0.03614585
2013/03/24,64.37,71,63.36,70.22,3627.69,249504.61,68.78,0.06338991,1.8464608251,0.0334699335,0.04361005
2013/03/25,70.22,80,69.25,75.11,8198.25,600261.14,73.22,0.06043381,1.875697762,0.0376955399,0.04806431
2013/03/26,74.3,100,74.3,79.81,6748.68,536804.56,79.54,0.06409211,1.9020573108,0.0379917795,0.04889597
2013/03/27,79.81,89.99,78.75,89.3,6073.08,528292.73,86.99,0.05735016,1.9508514589,0.0381186037,0.04922164
2013/03/28,89.4,97,80,88.52,9823.47,885159.1,90.11,0.06491476,1.9470414053,0.0387942531,0.04873482
2013/03/29,88.96,94,84,90,6658.42,598347.5,89.86,0.06736608,1.9542425094,0.0390011466,0.04911336
2013/03/30,90.49,95,89.31,92.11,1799.52,167125.88,92.87,0.06763339,1.9643067823,0.0397664708,0.04961639
2013/03/31,92.12,96.15,92.12,96.15,2003.82,188706.62,94.17,0.07009452,1.9829492886,0.0401927954,0.05100629
2013/04/01,95.5,106.5,93.7,104.7,6540.71,651512.72,99.61,0.0857781,2.0199466817,0.0452179211,0.05552917
2013/04/02,103.73,116,100.1,116,6441.04,703416.05,109.21,0.08396421,2.0644579892,0.0496682916,0.06001925
2013/04/03,116,158.41,110,133.78,15003.95,1942177.68,129.44,0.0818719,2.1263911916,0.0501002854,0.06092371
2013/04/04,133.87,150,119,135,7265.27,962558.35,132.49,0.08298547,2.1303337685,0.0556992716,0.06699256
2013/04/05,134.67,200,127.09,141.8,7564.28,1059570.01,140.08,0.0780576,2.1516762308,0.0589119933,0.06900011
2013/04/06,141.8,150.03,138.5,141,3504.27,496447.04,141.67,0.08928137,2.1492191127,0.0590791162,0.06973712
2013/04/07,141,165.1,140.65,164.97,6737.21,1031866.58,153.16,0.09635524,2.2174049744,0.0599747311,0.06995721
2013/04/08,164.97,198,162,185.6,13411.06,2441789.84,182.07,0.0782424,2.2685779719,0.0699819462,0.07931688
2013/04/09,185.6,235.29,164.34,229,11211.79,2408925.33,214.86,0.09545023,2.3598354823,0.0827449686,0.08102671
2013/04/10,228.94,259.34,70,162,20889.47,3647719.88,174.62,0.08190815,2.2095150145,0.0967725841,0.08872589
2013/04/11,162,179,50,83.4,37205.88,3955205.77,106.31,0.07782939,1.9211660506,0.0347796973,0.03217624
2013/04/12,81.02,112,45,109.9,29095.91,2208419,75.9,0.08763395,2.0409976924,0.0421479336,0.04199681
2013/04/13,109.9,119,85,91.64,16830.84,1708591.81,101.52,0.07323563,1.9620850805,0.0371981333,0.03992472
2013/04/14,90.44,99.99,81.94,91.11,5777.57,549492.06,95.11,0.0743537,1.9595660466,0.0372011736,0.04017621
2013/04/15,91.79,99.8,60,74,19578.13,1685980.11,86.12,0.0676142,1.8692317197,0.0300299001,0.02796121
2013/04/16,73.99,82,49.8,68.09,35706.59,2335121.25,65.4,0.0629054,1.8330833342,0.0280016441,0.02299741
2013/04/17,67.85,101.12,60,89.98,30854.42,2607701.52,84.52,0.1081582,1.9541459888,0.0440682312,0.05011431
2013/04/18,89.98,111.23,78.92,109.3,16527.46,1599320.96,96.77,0.109214,2.0386201619,0.0451234088,0.05100277
2013/04/19,109.3,140.2,100,117.71,25498.95,3014004.73,118.2,0.1192879,2.0708133597,0.0526129015,0.05548792
